,Code,Meaning,Local Reference,2015,2016,2017,2018,2019,2020,2021,2022,EU
33,10Y1001A1001A85B,"SCA|IT-MACRZONESOUTH, MBA|IT-MACRZONESOUTH",IT_MACRO_SOUTH,0.0943,0.086,0.0821,0.08885,0.0941,0.0867,0.1171,0.2354,YES
34,10Y1001A1001A869,"SCA|UA-DobTPP, BZN|UA-DobTPP, CTA|UA-DobTPP",UA_DOBTPP,0.0833,0.07655,0.0662,0.06485,0.07125,0.0792,0.0708,0.0987,NO
35,10Y1001A1001A877,BZN|IT-Malta,IT_MALTA,0.0943,0.086,0.0821,0.08885,0.0941,0.0867,0.1171,0.2354,YES
36,10Y1001A1001A885,BZN|IT-SACOAC,IT_SACO_AC,0.0943,0.086,0.0821,0.08885,0.0941,0.0867,0.1171,0.2354,YES
37,10Y1001A1001A893,"BZN|IT-SACODC, SCA|IT-SACODC",IT_SACO_DC,0.0943,0.086,0.0821,0.08885,0.0941,0.0867,0.1171,0.2354,YES
38,10Y1001A1001A91G,"SNA|Nordic, REG|Nordic, LFB|Nordic",NO,0.0617,0.0631,0.06425,0.06655,0.0694,0.0612,0.08405,0.1111,YES
39,10Y1001A1001A92E,United Kingdom (UK),UK,0.1294,0.11565,0.1094,0.12055,0.12835,0.12585,0.1578,0.2104,YES
40,10Y1001A1001A93C,"Malta (MT), BZN|MT, CTA|MT, SCA|MT, MBA|MT",MT,0.0943,0.086,0.0821,0.08885,0.0941,0.0867,0.1171,0.2354,YES
41,10Y1001A1001A990,"MBA|MD, SCA|MD, CTA|MD, BZN|MD, Moldova (MD)",MD,0.0778,0.0724,0.06435,0.07375,0.08585,0.0841,0.0908,0.1598,NO
42,10Y1001A1001B004,"Armenia (AM), BZN|AM, CTA|AM",AM,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,NO
43,10Y1001A1001B012,"CTA|GE, BZN|GE, Georgia (GE), SCA|GE, MBA|GE",GE,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,NO
44,10Y1001A1001B05V,"Azerbaijan (AZ), BZN|AZ, CTA|AZ",AZ,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,NO
45,10Y1001C--00003F,"BZN|UA, Ukraine (UA), MBA|UA, SCA|UA",UA,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,NO
46,10Y1001C--000182,"SCA|UA-IPS, MBA|UA-IPS, BZN|UA-IPS, CTA|UA-IPS",UA_IPS,0.0833,0.07655,0.0662,0.06485,0.07125,0.0792,0.0708,0.0987,NO
47,10Y1001C--00038X,BZA|CZ-DE-SK-LT-SE4,CZ-DE-SK-LT-SE4,0.0761,0.07205,0.0688,0.0716,0.06535,0.07145,0.07485,0.1444,YES
48,10Y1001C--00059P,REG|CORE,CZ-DE-SKK,0.0761,0.07205,0.0688,0.0716,0.06535,0.07145,0.07485,0.1444,YES
49,10Y1001C--00090V,"REG|AFRR, SCA|AFRR",AFRR Virtual,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,YES
50,10Y1001C--00095L,REG|SWE,SWE REG,0.0617,0.0631,0.06425,0.06655,0.0694,0.0612,0.08405,0.1111,YES
51,10Y1001C--00096J,"SCA|IT-Calabria, MBA|IT-Z-Calabria, BZN|IT-Calabria",IT_CALA,0.0943,0.086,0.0821,0.08885,0.0941,0.0867,0.1171,0.2354,YES
52,10Y1001C--00098F,BZN|GB(IFA),GB_IFA,0.1294,0.11565,0.1094,0.12055,0.12835,0.12585,0.1578,0.2104,YES
53,10Y1001C--00100H,"BZN|XK, CTA|XK, Kosovo (XK), MBA|XK, LFB|XK, LFA|XK",XK,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,NO
54,10Y1001C--00119X,SCA|IN,IN_Virtual,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,YES
55,10Y1001C--001219,BZN|NO2A,NO_2A,0.0617,0.0631,0.06425,0.06655,0.0694,0.0612,0.08405,0.1111,YES
56,10Y1001C--00137V,REG|ITALYNORTH,IT_NORTH_REG,0.0943,0.086,0.0821,0.08885,0.0941,0.0867,0.1171,0.2354,YES
57,10Y1001C--00138T,REG|GRIT,GRIT_REG,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,YES
58,10YAL-KESH-----5,"LFB|AL, LFA|AL, BZN|AL, CTA|AL, Albania (AL), SCA|AL, MBA|AL",AL,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,NO
59,10YAT-APG------L,"MBA|AT, SCA|AT, Austria (AT), IPA|AT, CTA|AT, BZN|AT, LFA|AT, LFB|AT",AT,0.0731,0.0694,0.06545,0.0712,0.08095,0.0874,0.09225,0.1437,YES
60,10YBA-JPCC-----D,"LFA|BA, BZN|BA, CTA|BA, Bosnia and Herz. (BA), SCA|BA, MBA|BA",BA,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,NO
61,10YBE----------2,"MBA|BE, SCA|BE, Belgium (BE), CTA|BE, BZN|BE, LFA|BE, LFB|BE",BE,0.0898,0.08645,0.07685,0.07885,0.08045,0.08025,0.09225,0.1581,YES
62,10YCA-BULGARIA-R,"LFB|BG, LFA|BG, BZN|BG, CTA|BG, Bulgaria (BG), SCA|BG, MBA|BG",BG,0.0682,0.0885,0.07665,0.08175,0.08675,0.0819,0.13015,0.2372,YES
63,10YCB-GERMANY--8,"SCA|DE_DK1_LU, LFB|DE_DK1_LU",DE_control,0.0809,0.07905,0.07735,0.07755,0.07865,0.0867,0.09375,0.1512,YES
64,10YCB-JIEL-----9,LFB|RS_MK_ME,RS_MK_ME,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,NO
65,10YCB-POLAND---Z,LFB|PL,PL,0.0833,0.07655,0.0662,0.06485,0.07125,0.0792,0.0708,0.0987,YES
66,10YCB-SI-HR-BA-3,LFB|SI_HR_BA,SI_HR_BA,0.0714,0.0672,0.0619,0.06935,0.07885,0.081,0.07845,0.1435,YES
67,10YCH-SWISSGRIDZ,"LFB|CH, LFA|CH, SCA|CH, MBA|CH, Switzerland (CH), CTA|CH, BZN|CH",CH,0.0809,0.07905,0.07735,0.07755,0.07865,0.0867,0.09375,0.1512,YES
68,10YCS-CG-TSO---S,"BZN|ME, CTA|ME, Montenegro (ME), MBA|ME, SCA|ME, LFA|ME",ME,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,NO
69,10YCS-SERBIATSOV,"LFA|RS, SCA|RS, MBA|RS, Serbia (RS), CTA|RS, BZN|RS",RS,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,NO
70,10YCY-1001A0003J,"BZN|CY, CTA|CY, Cyprus (CY), MBA|CY, SCA|CY",CY,0.1316,0.10825,0.12665,0.1472,0.1385,0.11365,0.12515,0.1722,YES
71,10YCZ-CEPS-----N,"SCA|CZ, MBA|CZ, Czech Republic (CZ), CTA|CZ, BZN|CZ, LFA|CZ, LFB|CZ",CZ,0.0761,0.07205,0.0688,0.0716,0.06535,0.07145,0.07485,0.1444,YES
72,10YDE-ENBW-----N,"LFA|DE(TransnetBW), CTA|DE(TransnetBW), SCA|DE(TransnetBW)",DE_TRANSNET,0.0809,0.07905,0.07735,0.07755,0.07865,0.0867,0.09375,0.1512,YES
73,10YDE-EON------1,"SCA|DE(TenneT GER), CTA|DE(TenneT GER), LFA|DE(TenneT GER)",DE_TENNET,0.0809,0.07905,0.07735,0.07755,0.07865,0.0867,0.09375,0.1512,YES
74,10YDE-RWENET---I,"LFA|DE(Amprion), CTA|DE(Amprion), SCA|DE(Amprion)",DE_AMPRION,0.0809,0.07905,0.07735,0.07755,0.07865,0.0867,0.09375,0.1512,YES
75,10YDE-VE-------2,"SCA|DE(50Hertz), CTA|DE(50Hertz), LFA|DE(50Hertz), BZA|DE(50HzT)",DE_50HZ,0.0809,0.07905,0.07735,0.07755,0.07865,0.0867,0.09375,0.1512,YES
76,10YDK-1-------AA,BZN|DK1A,DK_1A,0.0591,0.06105,0.06225,0.0622,0.0626,0.05775,0.09375,0.1595,YES
77,10YDK-1--------W,"IPA|DK1, IBA|DK1, BZN|DK1, SCA|DK1, MBA|DK1, LFA|DK1",DK_1,0.0591,0.06105,0.06225,0.0622,0.0626,0.05775,0.09375,0.1595,YES
